endpoint,iter,http,bytes,dns,connect,tls,ttfb,total
soccernew/inplay,7,200,327,0.000055,0.000216,1.608145,2.754340,2.754787
soccernew/inplay,8,200,327,0.000057,0.000213,1.070408,1.807162,1.807752
soccernew/inplay,9,200,327,0.000057,0.000234,1.205381,1.825267,1.825714
soccernew/inplay,10,200,327,0.000063,0.000256,1.114280,2.515034,2.515388
soccernew/inplay,11,200,327,0.000054,0.000204,1.302507,1.700507,1.701021
soccernew/inplay,12,200,327,0.000059,0.000241,1.440034,2.034747,2.035070
soccernew/inplay,13,200,327,0.000055,0.000215,1.119423,6.549319,6.549828
soccernew/inplay,14,200,327,0.000059,0.000230,1.008465,1.680833,1.681450
soccernew/inplay,15,200,327,0.000058,0.000220,1.050014,1.490567,1.491136
soccernew/inplay,16,200,327,0.000051,0.000214,1.047596,2.102059,2.102410
soccernew/inplay,17,200,327,0.000052,0.000189,1.242737,1.638664,1.639127
soccernew/inplay,18,200,327,0.000061,0.000207,1.238670,2.052442,2.052885
soccernew/inplay,19,200,327,0.000056,0.000209,0.992896,1.472175,1.472533
soccernew/inplay,20,200,327,0.000058,0.000199,0.966922,1.734381,1.734749
soccer/home,1,200,21347,0.000054,0.000225,1.124097,2.407136,2.550225
soccer/home,2,200,21347,0.000062,0.000231,1.332704,5.041743,5.042681
soccer/home,3,200,21343,0.000060,0.000220,1.058928,1.889183,1.889947
soccer/home,4,200,21343,0.000055,0.000220,1.309266,2.464373,2.465600
soccer/home,5,200,21347,0.000058,0.000263,1.326905,3.489110,3.643422
soccer/home,6,200,21340,0.000062,0.000236,1.237110,3.052768,3.210926
soccer/home,7,200,21340,0.000052,0.000212,1.351028,2.786177,2.786964
soccer/home,8,200,21347,0.000057,0.000199,1.335593,2.135649,2.320382
soccer/home,9,200,21343,0.000077,0.000195,1.300986,2.272211,2.424166
soccer/home,10,200,21343,0.000054,0.000212,1.234386,1.777400,2.234492
soccer/home,11,200,21289,0.000056,0.000199,1.350411,2.305434,2.439876
soccer/home,12,200,21289,0.000052,0.000198,1.036861,2.874091,3.038441
soccer/home,13,200,21342,0.000055,0.000209,2.168136,3.046434,3.345345
soccer/home,14,200,21349,0.000054,0.000220,1.277445,2.355274,2.356566
soccer/home,15,200,21349,0.000056,0.000211,1.044944,1.643798,1.784647
soccer/home,16,200,21348,0.000054,0.000216,1.018460,1.847535,1.909991
soccer/home,17,200,21348,0.000050,0.000218,1.290594,1.852266,2.276272
soccer/home,18,200,21345,0.000063,0.000190,0.999787,2.402745,2.403543
soccer/home,19,200,21345,0.000055,0.000205,1.317568,2.096832,2.097463
soccer/home,20,200,21341,0.000051,0.000205,0.997288,7.809123,7.836347
football/nfl-scores,1,200,4341,0.000052,0.000206,1.240065,5.540485,5.540909
football/nfl-scores,2,200,4341,0.000057,0.000204,0.990788,7.711965,7.712477
football/nfl-scores,3,200,4341,0.000071,0.000183,1.012469,2.795416,2.796259
football/nfl-scores,4,200,4341,0.000062,0.000220,1.046787,1.778800,1.779414
football/nfl-scores,5,200,4341,0.000061,0.000220,1.266533,12.600949,12.601431
football/nfl-scores,6,200,4341,0.000054,0.000257,1.132337,2.661475,2.662111
football/nfl-scores,7,200,4341,0.000057,0.000225,1.001248,1.682108,1.682963
football/nfl-scores,8,200,4341,0.000059,0.000228,1.048430,1.478946,1.479427
football/nfl-scores,9,200,4341,0.000049,0.000199,1.030491,1.462268,1.462930
football/nfl-scores,10,200,4341,0.000062,0.000234,1.049027,1.671968,1.672429
football/nfl-scores,11,200,4341,0.000058,0.000174,1.025309,1.902996,1.903760
football/nfl-scores,12,200,4341,0.000055,0.000225,1.525848,2.952352,2.953026
football/nfl-scores,13,200,4341,0.000055,0.000198,1.014213,1.547861,1.548256
football/nfl-scores,14,200,4341,0.000052,0.000222,1.044719,1.811467,1.812022
football/nfl-scores,15,200,4341,0.000064,0.000241,1.042817,1.779958,1.780377
football/nfl-scores,16,200,4341,0.000054,0.000208,1.016976,1.520042,1.520662
football/nfl-scores,17,200,4341,0.000056,0.000223,1.021857,1.553584,1.554260
football/nfl-scores,18,200,4341,0.000058,0.000222,1.043917,1.461703,1.462337
football/nfl-scores,19,200,4341,0.000059,0.000226,0.995562,5.833131,5.833652
football/nfl-scores,20,200,4341,0.000055,0.000217,1.455574,1.934513,1.934822
baseball/usa,1,200,30812,0.000051,0.000153,1.425265,3.057673,3.059601
baseball/usa,2,200,30812,0.000055,0.000226,1.253886,6.513090,6.514792
baseball/usa,3,200,30812,0.000056,0.000213,1.411345,2.154157,2.199937
baseball/usa,4,200,30812,0.000055,0.000218,1.013649,5.462638,5.464233
baseball/usa,5,200,30812,0.000067,0.000254,1.352843,6.779864,7.529758
baseball/usa,6,200,30807,0.000059,0.000230,1.026557,2.103245,2.629515
baseball/usa,7,200,30807,0.000058,0.000221,1.118613,2.457648,2.854467
baseball/usa,8,200,30807,0.000056,0.000225,1.460260,8.497185,8.498638
baseball/usa,9,200,30807,0.000053,0.000250,1.318196,5.954654,6.128949
baseball/usa,10,200,30807,0.000056,0.000216,1.193351,2.503749,2.504783
baseball/usa,11,200,30807,0.000053,0.000240,1.047678,2.480350,2.481114
baseball/usa,12,200,30807,0.000050,0.000197,1.605425,2.900131,2.900967
baseball/usa,13,200,30807,0.000052,0.000231,1.021580,2.772099,2.774152
baseball/usa,14,200,30805,0.000061,0.000181,1.587975,12.226279,12.658525
baseball/usa,15,200,30805,0.000051,0.000199,1.110456,2.838160,2.839393
baseball/usa,16,200,30805,0.000059,0.000214,1.358821,2.328002,3.048901
baseball/usa,17,200,30805,0.000060,0.000227,1.008250,2.895902,3.076764
baseball/usa,18,200,30805,0.000061,0.000226,1.630271,2.649137,2.807347
baseball/usa,19,200,30805,0.000058,0.000186,1.046717,6.853163,6.853793
baseball/usa,20,200,30805,0.000052,0.000154,1.061330,2.150526,2.258703
tennis/home,1,200,12430,0.000059,0.000230,1.018347,2.301550,2.301878
tennis/home,2,200,12430,0.000050,0.000197,1.415674,2.121321,2.121844
tennis/home,3,200,12430,0.000053,0.000217,1.280215,2.277277,2.278376
tennis/home,4,200,12430,0.000058,0.000214,1.315711,4.025043,4.025730
tennis/home,5,200,12430,0.000058,0.000224,1.738982,5.565217,5.565701
tennis/home,6,200,12430,0.000052,0.000215,1.084903,2.018020,2.018673
tennis/home,7,200,12430,0.000061,0.000241,1.077484,7.731966,7.732827
tennis/home,8,200,12430,0.000064,0.000175,1.044276,4.886126,4.887089
tennis/home,9,200,12430,0.000058,0.000205,1.530308,2.717581,2.718645
tennis/home,10,200,12430,0.000062,0.000224,1.380209,2.153921,2.154966
tennis/home,11,200,12430,0.000058,0.000250,1.385999,8.253305,8.254253
tennis/home,12,200,12430,0.000070,0.000254,1.009950,2.439314,2.440084
tennis/home,13,200,12430,0.000057,0.000210,1.340818,5.822834,5.823129
tennis/home,14,200,12430,0.000046,0.000183,1.071884,1.810648,1.811414
tennis/home,15,200,12430,0.000059,0.000213,1.714732,2.489312,2.490423
tennis/home,16,200,12430,0.000059,0.000233,1.116439,2.600797,2.601831
tennis/home,17,200,12430,0.000062,0.000229,6.401866,7.124109,7.124877
tennis/home,18,200,12430,0.000056,0.000228,1.206600,1.661688,1.662153
tennis/home,19,200,12430,0.000051,0.000204,1.018020,5.035555,5.036430
tennis/home,20,200,12430,0.000054,0.000182,1.295865,2.936288,2.937328
hockey/nhl-scores,1,200,3952,0.000063,0.000229,1.151678,5.865821,5.866368
hockey/nhl-scores,2,200,3952,0.000054,0.000246,1.299033,2.007759,2.008388
hockey/nhl-scores,3,200,3952,0.000066,0.000217,1.037478,1.868250,1.868724
hockey/nhl-scores,4,200,3952,0.000052,0.000202,1.343571,3.861914,3.862669
hockey/nhl-scores,5,200,3952,0.000055,0.000218,1.189516,2.449416,2.449941
hockey/nhl-scores,6,200,3952,0.000059,0.000229,2.032457,6.954128,6.954719
hockey/nhl-scores,7,200,3952,0.000055,0.000222,1.354664,2.567686,2.568074
hockey/nhl-scores,8,200,3952,0.000051,0.000194,1.003087,2.023944,2.024461
hockey/nhl-scores,9,200,3952,0.000055,0.000222,1.151585,12.030572,12.031159
hockey/nhl-scores,10,200,3952,0.000055,0.000217,1.368019,1.800248,1.800673
